compound,display_name,similarity_to_nearest_selective,nearest_selective,nearest_selective_name,selectivity_ratio
CHEMBL3798937,CHEMBL3798937 (C15H13ClN2O4),0.755,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.3052194903372215
CHEMBL3800394,CHEMBL3800394 (C21H18N2O4),0.75,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.3461538461538461
CHEMBL3798870,CHEMBL3798870 (C15H14N2O4),0.653,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.4652265542676501
CHEMBL4866890,CHEMBL4866890 (C17H15ClN2O5),0.63,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.3103448275862069
CHEMBL3799297,CHEMBL3799297 (C16H16N2O5),0.558,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.7273584905660376
CHEMBL4846424,CHEMBL4846424 (C18H18N2O5),0.554,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.5
CHEMBL4566973,CHEMBL4566973 (C16H10FNO3),0.553,CHEMBL4452960,CHEMBL4452960 (C16H10ClNO3),0.33
CHEMBL4867661,CHEMBL4867661 (C18H15N3O4),0.533,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.5454545454545454
CHEMBL4877604,CHEMBL4877604 (C22H17N3O5),0.532,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.46875
CHEMBL3800057,CHEMBL3800057 (C17H18N2O4),0.5,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.1325532498400219
CHEMBL4095643,CHEMBL4095643 (C15H13ClN2O4),0.5,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.1225806451612903
CHEMBL4472078,CHEMBL4472078 (C17H10F3NO3),0.477,CHEMBL4452960,CHEMBL4452960 (C16H10ClNO3),0.972972972972973
CHEMBL4546952,CHEMBL4546952 (C18H13NO5),0.467,CHEMBL4452960,CHEMBL4452960 (C16H10ClNO3),0.5
CHEMBL4524841,CHEMBL4524841 (C17H11NO5),0.467,CHEMBL4452960,CHEMBL4452960 (C16H10ClNO3),0.6545454545454545
CHEMBL3797516,CHEMBL3797516 (C15H15NO4),0.456,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0891126025354213
CHEMBL4847732,CHEMBL4847732 (C16H16N2O5),0.456,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.627906976744186
CHEMBL4868510,CHEMBL4868510 (C19H20N2O5),0.429,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.3333333333333333
CHEMBL3797939,CHEMBL3797939 (C21H17ClN2O4),0.422,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.5670457550912457
CHEMBL4865911,CHEMBL4865911 (C17H14N2O4S),0.4,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.4545454545454545
CHEMBL4093480,CHEMBL4093480 (C14H10Cl2N2O3),0.386,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.5303030303030303
CHEMBL3798183,CHEMBL3798183 (C18H15N3O3),0.381,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.3172774869109948
CHEMBL4065863,CHEMBL4065863 (C15H13ClN2O3),0.373,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.3333333333333333
CHEMBL3800182,CHEMBL3800182 (C15H16N2O5S),0.365,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0408247422680412
CHEMBL3798848,CHEMBL3798848 (C21H20N2O2),0.317,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.2357373519913886
CHEMBL2170177,CHEMBL2170177 (C17H16N2O3),0.313,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0084468664850136
CHEMBL3798833,CHEMBL3798833 (C14H20N2O2),0.306,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.1737464601032817
CHEMBL3798268,CHEMBL3798268 (C9H12N2O2),0.304,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0445431472081218
CHEMBL3799897,CHEMBL3799897 (C14H14N2O2),0.3,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.1338285799611766
CHEMBL2178342,CHEMBL2178342 (C16H14N4O2S),0.29,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.5385556915544676
CHEMBL3800287,CHEMBL3800287 (C10H10N2O3S),0.281,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.6554054054054054
CHEMBL3800299,CHEMBL3800299 (C13H18N2O2),0.254,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.2286501377410468
CHEMBL2094337,CHEMBL2094337 (C9H6ClNO2S),0.25,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.7209302325581395
CHEMBL3798613,CHEMBL3798613 (C10H10N2O3S),0.242,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.5081967213114754
CHEMBL2018302,TUBASTATIN A,0.24,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0650391113575055
CHEMBL3798481,CHEMBL3798481 (C10H8N2O2),0.22,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0716385078817121
CHEMBL98,VORINOSTAT,0.217,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0016949152542372
CHEMBL2105763,QUISINOSTAT,0.19,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0176056338028169
CHEMBL96051,SCRIPTAID,0.182,CHEMBL155771,CHEMBL155771 (C15H16O3),0.0084745762711864
CHEMBL99,TRICHOSTATIN,0.167,CHEMBL4855490,CHEMBL4855490 (C21H17ClN2O4),0.0003812154696132
CHEMBL483254,PANOBINOSTAT,0.152,CHEMBL155771,CHEMBL155771 (C15H16O3),0.0108
