ablation,target_pair_id,n_rows,n_positive,auroc,spearman_log_ratio
A0_pair_only,LmDHFR,69,29,0.3879310344827586,-0.1826604390287151
A0_pair_only,LmPTR1,45,34,0.2994652406417112,-0.3131977444966062
A0_pair_only,SmDHODH,10,3,0.4285714285714286,-0.32098333762097836
A0_pair_only,SmHDAC8,7,1,0.4166666666666667,0.0
A0_pair_only,TbCathB,36,0,,-0.2555168632960802
A0_pair_only,TbPDEB1,68,7,0.2997658079625293,-0.16200782310623307
A1_compound_only,LmDHFR,69,29,0.7711206896551723,0.5275904939583593
A1_compound_only,LmPTR1,45,34,0.8743315508021391,0.4149948943187812
A1_compound_only,SmDHODH,10,3,0.7142857142857143,0.5393939393939393
A1_compound_only,SmHDAC8,7,1,0.33333333333333337,0.03571428571428572
A1_compound_only,TbCathB,36,0,,0.02908810096762796
A1_compound_only,TbPDEB1,68,7,0.8313817330210773,0.5125263661596476
A2_compound_plus_pair,LmDHFR,69,29,0.7935344827586207,0.5579683010243145
A2_compound_plus_pair,LmPTR1,45,34,0.7887700534759359,0.2635965347149458
A2_compound_plus_pair,SmDHODH,10,3,0.7619047619047619,0.5636363636363636
A2_compound_plus_pair,SmHDAC8,7,1,0.33333333333333337,0.14285714285714288
A2_compound_plus_pair,TbCathB,36,0,,0.07696762999398903
A2_compound_plus_pair,TbPDEB1,68,7,0.864168618266979,0.5373214110235776
A2b_pair_plus_side,LmDHFR,69,29,0.7900862068965517,0.5521193851030716
A2b_pair_plus_side,LmPTR1,45,34,0.7887700534759359,0.2635965347149458
A2b_pair_plus_side,SmDHODH,10,3,0.7142857142857142,0.5030303030303029
A2b_pair_plus_side,SmHDAC8,7,1,0.33333333333333337,0.14285714285714288
A2b_pair_plus_side,TbCathB,36,0,,0.09987772721628006
A2b_pair_plus_side,TbPDEB1,68,7,0.8594847775175645,0.5250479592549041
A2c_pair_plus_compat,LmDHFR,69,29,0.7991379310344827,0.5754366810814645
A2c_pair_plus_compat,LmPTR1,45,34,0.7807486631016043,0.28823665068180154
A2c_pair_plus_compat,SmDHODH,10,3,0.6666666666666667,0.4545454545454545
A2c_pair_plus_compat,SmHDAC8,7,1,0.33333333333333337,0.14285714285714288
A2c_pair_plus_compat,TbCathB,36,0,,0.05688911782164406
A2c_pair_plus_compat,TbPDEB1,68,7,0.8501170960187354,0.554099582259447
A3_full_v4,LmDHFR,69,29,0.7948275862068965,0.5662247226510398
A3_full_v4,LmPTR1,45,34,0.7780748663101604,0.2856672268242952
A3_full_v4,SmDHODH,10,3,0.7142857142857142,0.4424242424242424
A3_full_v4,SmHDAC8,7,1,0.33333333333333337,0.25
A3_full_v4,TbCathB,36,0,,0.0664135402623718
A3_full_v4,TbPDEB1,68,7,0.8548009367681498,0.556790961263153
